"Time","sensor.euler_x","sensor.euler_y","sensor.euler_z","sensor.linearAccel_x","sensor.linearAccel_y","sensor.linearAccel_z","sensor.vAcc","sensor.hAcc","sensor.sAcc","sensor.headAcc","sensor.lon","sensor.lat","sensor.hMSL","sensor.velN","sensor.velE","sensor.velD","sensor.gSpeed","sensor.headMot","sensor.FL","sensor.FR","sensor.RL"
1659196205000,-5.4435219955199985,-0.9572264386799999,343.77938476,0.018839134919999997,0.00493720548,0.00107345156,21709937.36,30702488.16,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196210000,-5.49095266336,-0.8726790571200002,343.49461548,0.018733755440000003,0.004856533319999999,0.0010777304,21731502.307692308,30732986.230769232,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196215000,-5.515361881319999,-0.8402609109999999,342.96448974,0.018502670519999997,0.0041074098399999995,0.0009480872800000001,21753573.76,30764199.52,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196220000,-5.363763236959999,-0.8243906688800001,342.9663818360001,0.01795438976,0.005719502079999999,0.0008615124399999999,21776045.76,30795980,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196225000,-5.2890863037199995,-0.91555644508,343.151214596,0.019126301279999994,0.00643360188,0.00100125569523972,21798953.36,30828376.24,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196230000,-5.2623385048,-0.93862003576,343.4326745639999,0.018355018679999998,0.007479472199999999,0.00126081688,21822294.08,30861385.28,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196235000,-5.37306848524,-0.95566576712,343.93685547999996,0.018966379999999994,0.005576532839999999,0.0006537594399999999,21846068.8,30895007.2,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196240000,-5.574924488120001,-0.98695441488,350.3939440840001,0.01813438756,0.0023436445599999993,0.00069350845358996,21870276.72,30929242.8,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196245000,-5.721288433119998,-1.2052758312,354.161717532,0.02325153732,0.0005325316800000001,0.00022807815999999998,21894914.88,30964085.76,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196250000,-5.61655982964,-1.222076602,352.88369141199996,0.02287670876,0.0032011175199999995,0.00047679952000000006,21919980.72,30999534.48,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196255000,-5.63018299104,-1.1802598809999998,353.076459956,0.02299504628,0.0026370825599999997,0.00068730052,21945473.84,31035587.44,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196260000,-5.62401968012,-1.16500362876,353.219128412,0.02316420784,0.0017988203199999996,0.0009008965200000001,21971392.64,31072242.08,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196265000,-5.67451105116,-1.1720872210800002,352.826236564,0.0209012866,0.0020168108000000002,0.003090163879999999,21997735.52,31109495.84,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196270000,-5.66042831412,-1.1185994864,352.44448364799996,0.02215792016,0.00215879972,0.0008258657599999996,22024499.6,31147346.96,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196275000,-5.550130672400001,-1.2060199308,352.38058960800004,0.02365765988,0.00315185032,0.00077097428,22051683.52,31185790.32,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196280000,-5.527019538960001,-1.10878817092,352.55731689999993,0.022202715319999997,0.003791191720000001,0.0006716630399999999,22079287.12,31224827.92,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196285000,-5.64448053356,-1.08902423868,352.32054565600004,0.021892423039999994,0.00230570988,0.0008130079199999999,22107310.16,31264458.56,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196290000,-5.614097785959999,-1.01866462716,352.12438719599993,0.02297543856,0.0023762834,0.0008199804799999999,22135750.64,31304679.6,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196295000,-5.64128221508,-1.0678628158799999,351.812657472,0.022750870680000004,0.0024050026799999997,0.00038795365364916,22164604.96,31345486.16,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196300000,-5.569827652,-0.94545258768,351.62026367999994,0.0224831468,0.00296843476,0.0011148315600000003,22193873.68,31386877.84,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196305000,-5.54246482848,-1.0995124626400001,351.3666211,0.021036393680000005,0.00317156932,0.00043815680000000004,22223553.68,31428851.84,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196310000,-5.522011489840001,-1.02564549452,351.33792603200004,0.01811896968,0.00497850580087988,0.00380850412,22253643.12,31471404.56,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659196315000,-3.0702623870986683,-0.5395595025145142,199.62344249810647,0.01157997134090909,0.0019489710227272728,0.00023809672727272726,12661443.659090908,17905985.931818184,11364.068181818182,18000000,256610884.57226875,310863813.4528928,68116.01710627279,437.0690521930619,222.17381007453713,-18.39023544523883,491.9438813614286,0,-2.1680626657067457,-2.1680626657067457,3.3468785040003484
1659196320000,-2.747140577792273,-0.45653777901996884,175.74667876967212,0.009680207240000002,0.0021245019199999994,0.0006740283600000002,11157523.18,15779120.82,10000.5,18000000,280311753.9006272,287832354.40250224,61373.13302173093,1613.5442747996938,806.9402342409687,66.04110099733984,1804.0727990521004,0,-6.302535013133792,-6.302535013133792,8.611855180241584
1659196325000,-2.709563444134628,-0.4955642558867108,175.85174276315894,0.010199469,0.0019828716,0.00040079360000000013,11173177.62,15801259.54,10000.5,18000000,280312706.52461606,287833092.6874352,61401.88676879555,2513.2403892121806,1256.8937572433842,0.4042762375938992,2810.0106454805373,0,-9.264320119905156,-9.264320119905156,11.255710632931688
1659196330000,-2.797595531022899,-0.49650742166612927,179.54723069085705,0.010142307897959184,0.0016593109183673477,0.00039447957061663276,11417381.306122448,16146615.795918368,10204.57142857143,18000000,276766767.4808883,291280830.4395576,63790.224511336004,2501.985845489849,1250.8000439725076,-61.402444819012544,2797.2190816032976,0,-9.592266626104177,-9.592266626104177,12.055756736884815
